product_id,product_name,price,rating,image_url,product_link
COMHJZJWYPFCTTMB,HP HyperX Omen Intel Core i7 14th Gen 14650 HX - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,"₹1,49,990",25 Ratings & 4 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/s/8/-original-imahk2z3s4fhkzp9.jpeg?q=70,https://www.flipkart.com/hp-hyperx-omen-intel-core-i7-14th-gen-14650-hx-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-15-ga0028tx-gaming-laptop/p/itme4efd91a109d9?pid=COMHJZJWYPFCTTMB&lid=LSTCOMHJZJWYPFCTTMBKQLGAB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12WkdKCQNeJPDtVo0KKH4QKLY9iYACDn_TDxYkWs-WX4RAF04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHBG6HU7GJGR8G,DELL 15 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 RPL Laptop,"₹54,490",786 Ratings & 43 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/t/k/-original-imahgx8wzexjwf68.jpeg?q=70,https://www.flipkart.com/dell-15-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-vostro-3530-rpl-laptop/p/itm131ebb1b7cdce?pid=COMHBG6HU7GJGR8G&lid=LSTCOMHBG6HU7GJGR8GMYENLT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12WkfNSez3aMq4esGOWF64NRepBAHDmQvfsLhavfnzU3UodIQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHDDZ7HZUJN6ZD,ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1405CKA-NK...,"₹14,999",41 Ratings & 3 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/b/-original-imahf69gy4qegrya.jpeg?q=70,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n4500-4-gb-128-gb-emmc-storage-chrome-os-cx1405cka-nk0155-cx1405cka-s60343/p/itm3869be0531b66?pid=COMHDDZ7HZUJN6ZD&lid=LSTCOMHDDZ7HZUJN6ZDPRGP47&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHDDZ7HZUJN6ZD.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMH8Z2QAWCCUCSP,ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,"₹39,990","4,797 Ratings & 401 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/a/-original-imahg53uwgmhzfcd.jpeg?q=70,https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMH8Z2QAWCCUCSP.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMH8EPFGAZ5HFM3,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹47,990","2,790 Ratings & 187 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/t/d/-original-imahg5fyqgdfhugy.jpeg?q=70,https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGAZ5HFM3&lid=LSTCOMH8EPFGAZ5HFM3UCBKL5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMH8EPFGAZ5HFM3.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHA9GUP3FPVRJ2,HP OmniBook 5(Previously Pavilion) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 1...,"₹63,990",31 Ratings & 1 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/q/y/-original-imahk44qgcfybyjf.jpeg?q=70,https://www.flipkart.com/hp-omnibook-5-previously-pavilion-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-16-ba1123tu-thin-light-laptop/p/itm6647eb8e337a1?pid=COMHA9GUP3FPVRJ2&lid=LSTCOMHA9GUP3FPVRJ2SKNIPP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12Wkc37rcUceLXCyIBMvtrQXs2s2ApUY3zRM-Lut2xCMf3RX3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHA9FK8YXVUUWA,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,"₹10,999","2,448 Ratings & 182 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/g/4/-original-imahgfdyf6grkw9r.jpeg?q=70,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os-82w00004ha/p/itm1ae5f82096ad9?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAAREQMZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHA9FK8YXVUUWA.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHDFUWWFF77NQC,HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,"₹69,990",844 Ratings & 54 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/x/-original-imahgx8weecatg2f.jpeg?q=70,https://www.flipkart.com/hp-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-15-fr0046tu-thin-light-laptop/p/itmc255f42578e1e?pid=COMHDFUWWFF77NQC&lid=LSTCOMHDFUWWFF77NQCREKA4R&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHDFUWWFF77NQC.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMH7NCZY2QDJ5Z4,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹28,990","8,406 Ratings & 729 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/s/x/-original-imahg5ftu2dzvyu8.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4QQUBPP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMG9VHHF6HVJPP9,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,"₹38,990","7,108 Ratings & 578 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/o/u/-original-imahg5fxhyfzpqwy.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15acl6-15alc7-2-thin-light-laptop/p/itm3680fb576eb7b?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U9USR9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMG9VHHF6HVJPP9.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHJQRFSDAZZ4ZQ,HP HyperX Omen Intel Core i7 14th Gen 14650 HX - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,"₹1,59,990",6 Ratings & 1 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/c/k/-original-imahk2z3stjkpgfq.jpeg?q=70,https://www.flipkart.com/hp-hyperx-omen-intel-core-i7-14th-gen-14650-hx-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5060-15ga0005tx-gaming-laptop/p/itm0eff8c6ef94a7?pid=COMHJQRFSDAZZ4ZQ&lid=LSTCOMHJQRFSDAZZ4ZQMBZUFR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12Wkc6r_G55JG7R6EEBHty7vWUyowISbMCaT3gRAOg-eHKq-vN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHGEQVUDH5RKJH,Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹79,990",89 Ratings & 5 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/z/i/-original-imahbzhpaggvytyz.jpeg?q=70,https://www.flipkart.com/lenovo-loq-essential-intel-core-i7-12650hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15iax9e-gaming-laptop/p/itmd07e54ebaf097?pid=COMHGEQVUDH5RKJH&lid=LSTCOMHGEQVUDH5RKJH61KR61&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12Wkf4V9YDau73lJ0r-AgE4yDHIHh5VcKBdSORkboH_BJe5Q1kFuKnWaINrJqv3pKVKuU%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHESPKH4GGYTQZ,Ultimus APEX BOLD N Intel Pentium Quad Core N4200 - (8 GB/256 GB SSD/Windows 11 Home) NU14U9INC54LS-SG...,"₹18,490",,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/b/k/-original-imahfbnmnppwyg3v.jpeg?q=70,https://www.flipkart.com/ultimus-apex-bold-n-intel-pentium-quad-core-n4200-8-gb-256-gb-ssd-windows-11-home-nu14u9inc54ls-sg-laptop/p/itme26d0a8c114d9?pid=COMHESPKH4GGYTQZ&lid=LSTCOMHESPKH4GGYTQZR32AJG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHESPKH4GGYTQZ.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMGZUYDGFJGHZR4,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,"₹53,730","16,265 Ratings & 1,316 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-original-imahg53xspmfrsdd.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4EBFOUZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMH397XW36HUXB8,Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹38,990","3,508 Ratings & 341 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/c/z/-original-imahg5fusry5atvm.jpeg?q=70,https://www.flipkart.com/acer-aspire-15-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMH397XW36HUXB8.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMH4B6CGZKHKUV3,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹45,990","1,487 Ratings & 91 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/e/v/-original-imahg53ufd4jgtqw.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMH8EPFJBDTQPFW,DELL Inspiron 15 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light...,"₹69,990",71 Ratings & 3 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/e/d/-original-imahg5fx6vyugqzh.jpeg?q=70,https://www.flipkart.com/dell-inspiron-15-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itm8c87e16d883a6?pid=COMH8EPFJBDTQPFW&lid=LSTCOMH8EPFJBDTQPFWSA0Y0C&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12WkcWF-SkTcjbPmUOAemfpgZjINQNViZoCUC5VtDRqstkYq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHFKPV6PUYZQMT,HP Pavilion Plus Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-EW0107TU Thin an...,"₹64,990",,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/3/h/-original-imahfsjyzvchmggq.jpeg?q=70,https://www.flipkart.com/hp-pavilion-plus-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-14-ew0107tu-thin-light-laptop/p/itm7ea3e4cebff8f?pid=COMHFKPV6PUYZQMT&lid=LSTCOMHFKPV6PUYZQMT9IL6NN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12WkdMh0VYkt4xIApvWVk1a16LwxwazDREG76NubK-Jfiqk_KSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHDYG7TFGZRMFZ,Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (24 GB/1 TB SSD/W...,"₹68,990",100 Ratings & 3 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/a/w/-original-imahb85kfwupn2ay.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-backlit-keyboard-mso-2024-intel-core-i5-13th-gen-13420h-24-gb-1-tb-ssd-windows-11-home-15irh10-thin-light-laptop/p/itm30f98a31cb8fb?pid=COMHDYG7TFGZRMFZ&lid=LSTCOMHDYG7TFGZRMFZTINJTD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHDYG7TFGZRMFZ.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMGT2Y3DHC6QN4R,Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,"₹15,990",73 Ratings & 8 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/w/n/-original-imah5uhrz7admz28.jpeg?q=70,https://www.flipkart.com/lenovo-chromebook-intel-pentium-quad-core-n100-4-gb-128-gb-emmc-storage-chrome-os-14ian8/p/itm7c0c58320220d?pid=COMGT2Y3DHC6QN4R&lid=LSTCOMGT2Y3DHC6QN4RLXRUHG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMGT2Y3DHC6QN4R.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHEAQTBUKSCUZE,Lenovo IdeaPad Pro 5 Intel Core Ultra 9 285H - (32 GB/1 TB SSD/Windows 11 Home) 14IAH10 Thin and Light...,"₹1,09,990",42 Ratings & 0 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/k/f/-original-imahfkh3qpgzrzcw.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-pro-5-intel-core-ultra-9-285h-32-gb-1-tb-ssd-windows-11-home-14iah10-thin-light-laptop/p/itmd7d69c58f3bc7?pid=COMHEAQTBUKSCUZE&lid=LSTCOMHEAQTBUKSCUZELO7MJY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12WkdTo2wHtcKtpVXMocj-20Fv8xVJNavG2VNVSE1HUfEtzDaXAI15xQIPam6Hsx54Dy4%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHBZVGW9HTAB8P,Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,"₹79,490",295 Ratings & 20 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/l/x/-original-imahywvc3htmaxaq.jpeg?q=70,https://www.flipkart.com/lenovo-loq-essential-intel-core-i5-12th-gen-12450hx-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050a-15iax9e-gaming-laptop/p/itmacfed35f4d675?pid=COMHBZVGW9HTAB8P&lid=LSTCOMHBZVGW9HTAB8PATFXUU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_R3TwRexpJsc-hPhomjO32blP3HgJfAsfXOUCJ_12WkeY92YDn-PIVMeOfrrio80urR_wR62sIH2_txPQRIektlmOBtEFy0FmBP0CX6jfuRQ%3D&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHESS7YD5PMQZ3,HP 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0668TU Thin and Light Lap...,"₹43,390",793 Ratings & 50 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/m/q/-original-imahg53xegyhbrjh.jpeg?q=70,https://www.flipkart.com/hp-15-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-15-fd0668tu-thin-light-laptop/p/itm44ca89d3e5687?pid=COMHESS7YD5PMQZ3&lid=LSTCOMHESS7YD5PMQZ3FJYNZS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHESS7YD5PMQZ3.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
COMHB7VN6ZDDZ946,ASUS Expertbook P3 Metal High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Wi...,"₹79,990",193 Ratings & 25 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/p/g/-original-imahg53ujvb5xj2g.jpeg?q=70,https://www.flipkart.com/asus-expertbook-p3-metal-high-performance-processor-intel-core-i7-13th-gen-13620h-32-gb-1-tb-ssd-windows-11-home-p3405cva-ly0308ws-thin-light-laptop/p/itm97eeb89e48af8?pid=COMHB7VN6ZDDZ946&lid=LSTCOMHB7VN6ZDDZ946RHQCBL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=ed0d3e04-e040-46be-8566-6104d201abea.COMHB7VN6ZDDZ946.SEARCH&ppt=None&ppn=None&ssid=lmb30miog00000001770628522942&qH=c06ea84a1e3dc3c6
