restuarant_name,cuisine,rating,delivery_time,cost,restuarant_link,image_url,location
Sante Spa Cuisine,30% OFF,4.3,44 min,₹650 for one,https://www.zomato.com/chennai/sante-spa-cuisine-nungambakkam/order,,chennai
Poha Wala,30% OFF,4.2,45 min,₹100 for one,https://www.zomato.com/chennai/poha-wala-sowcarpet/order,,chennai
Coffee? Since 1999,30% OFF,4.3,43 min,₹600 for one,https://www.zomato.com/chennai/coffee-since-1999-2-thousand-lights/order,,chennai
Mini Wings,30% OFF,4.3,33 min,₹150 for one,https://www.zomato.com/chennai/mini-wings-1-kilpauk/order,,chennai
Thirupathi Bhimas,30% OFF,4.0,40 min,₹400 for one,https://www.zomato.com/chennai/thirupathi-bhimas-anna-salai/order,,chennai
Brown Tree,30% OFF,4.0,36 min,₹100 for one,https://www.zomato.com/chennai/brown-tree-1-kilpauk/order,,chennai
Sandwich Hub By Anika Foods,30% OFF,4.3,40 min,₹150 for one,https://www.zomato.com/chennai/sandwich-hub-by-anika-foods-kilpauk/order,,chennai
Fresh Cakes By Bakerzoh,Flat 20% OFF,4.7,42 min,₹150 for one,https://www.zomato.com/chennai/fresh-cakes-by-bakerzoh-kilpauk/order,,chennai
Sowcarpet Chat Wala,30% OFF,3.8,39 min,₹100 for one,https://www.zomato.com/chennai/sowcarpet-chat-wala-kilpauk/order,,chennai
Indiska Magic,30% OFF,4.0,46 min,₹150 for one,https://www.zomato.com/chennai/indiska-magic-nungambakkam/order,,chennai
WOW! Chicken By WOW! Momo,Flat 30% OFF,3.6,,₹200 for one,https://www.zomato.com/chennai/wow-chicken-by-wow-momo-anna-nagar-east/order,,chennai
Potful - Claypot Biryanis,₹300 OFF,4.2,43 min,₹200 for one,https://www.zomato.com/chennai/potful-claypot-biryanis-shenoy-nagar/order,,chennai
Arabian Grills,30% OFF,3.7,43 min,₹150 for one,https://www.zomato.com/chennai/arabian-grills-anna-nagar-west/order,,chennai
Waffle Cart,30% OFF,3.6,60 min,₹100 for one,https://www.zomato.com/chennai/waffle-cart-kilpauk/order,,chennai
Olive Garden Caterer,30% OFF,3.6,42 min,₹100 for one,https://www.zomato.com/chennai/olive-garden-caterer-anna-nagar-east/order,,chennai
Super Soda,30% OFF,-,42 min,₹150 for one,https://www.zomato.com/chennai/super-soda-kilpauk/order,,chennai
Waffle N Brew,30% OFF,4.3,37 min,₹150 for one,https://www.zomato.com/chennai/waffle-n-brew-1-kilpauk/order,,chennai
Udupi Hotel Venkateswara,30% OFF,4.4,,₹200 for one,https://www.zomato.com/chennai/udupi-hotel-venkateswara-anna-nagar-east/order,,chennai
One Pot Chinese,30% OFF,3.7,42 min,₹150 for one,https://www.zomato.com/chennai/one-pot-chinese-kilpauk/order,,chennai
Biryani People - World Of Biryanis,30% OFF,4.1,44 min,₹100 for one,https://www.zomato.com/chennai/biryani-people-world-of-biryanis-shenoy-nagar/order,,chennai
Aroma Pure Veg Restaurant,30% OFF,4.3,47 min,₹100 for one,https://www.zomato.com/chennai/aroma-pure-veg-restaurant-nungambakkam/order,,chennai
Momo Square,30% OFF,4.1,45 min,₹150 for one,https://www.zomato.com/chennai/momo-square-shenoy-nagar/order,,chennai
Juicy Rolls,30% OFF,4.0,43 min,₹100 for one,https://www.zomato.com/chennai/juicy-rolls-1-chetpet/order,,chennai
Chaat By ID,30% OFF,3.7,37 min,₹100 for one,https://www.zomato.com/chennai/chaat-by-id-kilpauk/order,,chennai
Milky Way,30% OFF,4.4,43 min,₹150 for one,https://www.zomato.com/chennai/milky-way-kilpauk/order,,chennai
Sri Magesh Chettinadu Hotel,30% OFF,4.1,,₹250 for one,https://www.zomato.com/chennai/sri-magesh-chettinadu-hotel-kilpauk/order,,chennai
Kwality Wall's Ice Cream And More,30% OFF,4.1,45 min,₹100 for one,https://www.zomato.com/chennai/kwality-walls-ice-cream-and-more-1-aminijikarai/order,,chennai
Bismi Home Kitchen,30% OFF,4.3,41 min,₹100 for one,https://www.zomato.com/chennai/bismi-home-kitchen-anna-nagar-east/order,,chennai
Liya Caterers,30% OFF,3.6,39 min,₹150 for one,https://www.zomato.com/chennai/liya-caterers-kilpauk/order,,chennai
Wholesome Bowlsome,₹300 OFF,4.3,49 min,₹200 for one,https://www.zomato.com/chennai/wholesome-bowlsome-shenoy-nagar/order,,chennai
Karaikal Mess,30% OFF,3.6,42 min,₹150 for one,https://www.zomato.com/chennai/karaikal-mess-anna-nagar-east/order,,chennai
Barkat Hyderabad Biriyani,30% OFF,4.0,45 min,₹100 for one,https://www.zomato.com/chennai/barkat-hyderabad-biriyani-royapettah/order,,chennai
Annai Home Food,30% OFF,3.8,44 min,₹250 for one,https://www.zomato.com/chennai/annai-home-food-12-anna-nagar-east/order,,chennai
Mumbai Chatwala,30% OFF,4.2,34 min,₹100 for one,https://www.zomato.com/chennai/mumbai-chaatwala-kilpauk/order,,chennai
The Entrance Cafe,₹101 OFF,4.1,37 min,₹750 for one,https://www.zomato.com/chennai/the-entrance-cafe-kilpauk/order,,chennai
Minar Biriyani,30% OFF,4.0,45 min,₹250 for one,https://www.zomato.com/chennai/minar-biriyani-shenoy-nagar/order,,chennai
Delight Cake Treat,30% OFF,4.3,40 min,₹200 for one,https://www.zomato.com/chennai/delight-cake-treat-perambur/order,,chennai
Senorita's Mexican Kitchen By Little Italy,30% OFF,4.2,44 min,₹200 for one,https://www.zomato.com/chennai/senoritas-mexican-kitchen-by-little-italy-nungambakkam/order,,chennai
Van Dough Cafe & Pizzeria,30% OFF,4.0,41 min,₹100 for one,https://www.zomato.com/chennai/van-dough-cafe-pizzeria-1-nungambakkam/order,,chennai
Seena Bhai 1977 Chat & Juices,30% OFF,3.6,44 min,₹100 for one,https://www.zomato.com/chennai/seena-bhai-1977-chat-juices-sowcarpet/order,,chennai
Hum Tum Foods And Beverages,30% OFF,3.9,,₹150 for one,https://www.zomato.com/chennai/hum-tum-foods-and-beverages-purasavakkam/order,,chennai
Mr Brwn,30% OFF,New,41 min,₹100 for one,https://www.zomato.com/chennai/mr-brwn-kilpauk/order,,chennai
Hunger Square,30% OFF,3.6,45 min,₹200 for one,https://www.zomato.com/chennai/hunger-square-shenoy-nagar/order,,chennai
Raj Sree Sweets,30% OFF,2.5,46 min,₹100 for one,https://www.zomato.com/chennai/raj-sree-sweets-sowcarpet/order,,chennai
Happy Kitchen,30% OFF,-,43 min,₹100 for one,https://www.zomato.com/chennai/happy-kitchen-perambur/order,,chennai
Chai Karak,30% OFF,-,42 min,₹100 for one,https://www.zomato.com/chennai/chai-karak-perambur/order,,chennai
Shradha Lulla Gourmet Desserts,30% OFF,4.4,43 min,₹400 for one,https://www.zomato.com/chennai/shradha-lulla-gourmet-desserts-1-nungambakkam/order,,chennai
Rice Express By Shero,30% OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/rice-express-by-shero-2-vepery/order,,chennai
Crispy & Creme,₹101 OFF,3.3,38 min,₹150 for one,https://www.zomato.com/chennai/crispy-creme-purasavakkam/order,,chennai
Teaman,₹101 OFF,3.4,48 min,₹200 for one,https://www.zomato.com/chennai/teaman-kilpauk/order,,chennai
OX Belgian Waffle Cafe,₹101 OFF,4.0,42 min,₹200 for one,https://www.zomato.com/chennai/ox-belgian-waffle-cafe-nungambakkam/order,,chennai
Haagen Dazs,₹101 OFF,4.0,47 min,₹100 for one,https://www.zomato.com/chennai/haagen-dazs-thousand-lights/order,,chennai
Hotel Blue Mint,"South Indian, Biryani, Chinese, Sandwich, Fast Food, Momos",New,41 min,₹300 for one,https://www.zomato.com/chennai/hotel-blue-mint-thousand-lights/order,,chennai
SS Hyderabad Biryani-Perambur Railway,30% OFF,4.2,,₹200 for one,https://www.zomato.com/chennai/ss-hyderabad-biryani-perambur-railway-perambur/order,,chennai
Sangeetha Veg Restaurant,30% OFF,4.3,,₹250 for one,https://www.zomato.com/chennai/sangeetha-veg-restaurant-perambur/order,,chennai
The Patiala House,30% OFF,4.3,,₹350 for one,https://www.zomato.com/chennai/the-patiala-house-chetpet/order,,chennai
Five Star Chicken,"Fast Food, Burger, Rolls",4.0,,₹100 for one,https://www.zomato.com/chennai/five-star-chicken-royapuram/order,,chennai
Junior Kuppanna,Flat 15% OFF,3.3,,₹400 for one,https://www.zomato.com/chennai/junior-kuppanna-triplicane/order,,chennai
Temp Fried Chicken,30% OFF,4.3,,₹400 for one,https://www.zomato.com/chennai/temp-fried-chicken-nungambakkam/order,,chennai
Atti Square,30% OFF,4.0,,₹150 for one,https://www.zomato.com/chennai/atti-square-triplicane/order,,chennai
Khichdi Bar,30% OFF,4.3,,₹200 for one,https://www.zomato.com/chennai/khichdi-bar-purasavakkam/order,,chennai
Shero Home Food - Chettinad,Chettinad,4.1,,for one,https://www.zomato.com/chennai/shero-home-food-chettinad-3-purasavakkam/order,,chennai
Wangs Kitchen,Flat 25% OFF,3.7,,₹350 for one,https://www.zomato.com/chennai/wangs-kitchen-royapettah/order,,chennai
LOC Square,₹101 OFF,4.5,,₹250 for one,https://www.zomato.com/chennai/loc-square-triplicane/order,,chennai
Dhabba Express,"North Indian, Chinese, Fast Food",3.8,,₹300 for one,https://www.zomato.com/chennai/dhabba-express-nungambakkam/order,,chennai
Rasoee,₹101 OFF,4.1,,₹150 for one,https://www.zomato.com/chennai/rasoee-1-kilpauk/order,,chennai
Flower Drum,₹101 OFF,4.0,,₹400 for one,https://www.zomato.com/chennai/flower-drum-egmore/order,,chennai
Shyam's Bombay Halwa House,₹101 OFF,4.1,,₹300 for one,https://www.zomato.com/chennai/shyams-bombay-halwa-house-sowcarpet/order,,chennai
Nei Idly Sambar,₹101 OFF,3.9,,₹150 for one,https://www.zomato.com/chennai/nei-idly-sambar-1-kilpauk/order,,chennai
London Waffle Co.,₹101 OFF,4.0,,₹150 for one,https://www.zomato.com/chennai/london-waffle-co-1-thousand-lights/order,,chennai
Cream Centre - Vegetarian Legacy Since 1958,₹101 OFF,4.2,,₹500 for one,https://www.zomato.com/chennai/cream-centre-vegetarian-legacy-since-1958-nungambakkam/order,,chennai
The Street Shawarma,₹101 OFF,4.2,,₹150 for one,https://www.zomato.com/chennai/the-street-shawarma-1-perambur/order,,chennai
Zara's Home Food,₹101 OFF,4.0,,₹100 for one,https://www.zomato.com/chennai/zaras-home-food-egmore/order,,chennai
Mahendran Naan Stall,30% OFF,4.2,,₹100 for one,https://www.zomato.com/chennai/mahendran-naan-stall-royapuram/order,,chennai
Chennai Fast Food,30% OFF,4.2,,₹100 for one,https://www.zomato.com/chennai/chennai-fast-food-triplicane/order,,chennai
Parwani's Bombay Halwa House,30% OFF,4.3,,₹200 for one,https://www.zomato.com/chennai/parwanis-bombay-halwa-house-kilpauk/order,,chennai
The OG The Burger Company,30% OFF,4.1,,₹150 for one,https://www.zomato.com/chennai/the-og-the-burger-company-george-town/order,,chennai
The New Box,30% OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/the-new-box-purasavakkam/order,,chennai
Kabab Corner,30% OFF,4.3,,₹200 for one,https://www.zomato.com/chennai/kabab-corner-egmore/order,,chennai
Ravi Mehra's Delhi Hotel,30% OFF,4.3,,₹450 for one,https://www.zomato.com/chennai/ravi-mehras-delhi-hotel-park-town/order,,chennai
National Lodge,30% OFF,4.3,,₹150 for one,https://www.zomato.com/chennai/national-lodge-1-triplicane/order,,chennai
AKS Kabab,30% OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/aks-kabab-royapettah/order,,chennai
Celebration,30% OFF,3.8,,₹150 for one,https://www.zomato.com/chennai/celebration-royapettah/order,,chennai
The Cascade,30% OFF,4.3,,₹400 for one,https://www.zomato.com/chennai/the-cascade-nungambakkam/order,,chennai
Cafe Cove Garden - By The Mayflower,Flat 20% OFF,3.6,,₹500 for one,https://www.zomato.com/chennai/cafe-cove-garden-by-the-mayflower-egmore/order,,chennai
Gujraj Veg Restaurant,30% OFF,4.0,,₹400 for one,https://www.zomato.com/chennai/gujraj-veg-restaurant-2-park-town/order,,chennai
SK Burger Man,30% OFF,4.5,,₹150 for one,https://www.zomato.com/chennai/sk-burger-man-purasavakkam/order,,chennai
Malli Meena's Home Kitchen,30% OFF,4.1,,₹250 for one,https://www.zomato.com/chennai/malli-meenas-home-kitchen-egmore/order,,chennai
Little North,30% OFF,3.8,,₹350 for one,https://www.zomato.com/chennai/little-north-kilpauk/order,,chennai
Atithi Restaurant,30% OFF,4.1,,₹200 for one,https://www.zomato.com/chennai/atithi-restaurant-thousand-lights/order,,chennai
Rangis',30% OFF,4.3,,₹400 for one,https://www.zomato.com/chennai/rangis-nungambakkam/order,,chennai
Town Cafe,30% OFF,4.0,,₹150 for one,https://www.zomato.com/chennai/town-cafe-purasavakkam/order,,chennai
Buntastik,"Desserts, Ice Cream",4.1,,₹100 for one,https://www.zomato.com/chennai/buntastik-kilpauk/order,,chennai
Pasha Burger & Kebab,30% OFF,3.8,,₹100 for one,https://www.zomato.com/chennai/pasha-burger-kebab-nungambakkam/order,,chennai
Pranav Chats,30% OFF,3.4,,₹200 for one,https://www.zomato.com/chennai/pranav-chats-perambur/order,,chennai
Red E Drop Zone,Flat 10% OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/red-e-drop-zone-perambur/order,,chennai
Copper Chimney,30% OFF,4.3,,₹650 for one,https://www.zomato.com/chennai/copper-chimney-nungambakkam/order,,chennai
Aroma Pantry,30% OFF,4.0,,₹150 for one,https://www.zomato.com/chennai/aroma-pantry-thousand-lights/order,,chennai
Olive And Basil,"Oriental, Chinese, Asian, Thai, Seafood, Desserts, Beverages",3.7,,₹400 for one,https://www.zomato.com/chennai/olive-and-basil-egmore/order,,chennai
Pure Veg Daal Rotti,30% OFF,4.1,,₹200 for one,https://www.zomato.com/chennai/pure-veg-daal-rotti-royapettah/order,,chennai
Aahaa Atho Booth,30% OFF,4.1,,₹100 for one,https://www.zomato.com/chennai/aahaa-atho-booth-purasavakkam/order,,chennai
Vallalar Quality Tiffin Centre,30% OFF,4.1,,₹40 for one,https://www.zomato.com/chennai/vallalar-quality-tiffin-centre-purasavakkam/order,,chennai
Best Fast Food,30% OFF,3.9,,₹100 for one,https://www.zomato.com/chennai/best-fast-food-1-vepery/order,,chennai
Sree Agarwal Bhojanaalay,30% OFF,4.4,,₹200 for one,https://www.zomato.com/chennai/sree-agarwal-bhojanaalay-sowcarpet/order,,chennai
Meat.Com,30% OFF,4.0,,₹150 for one,https://www.zomato.com/chennai/meat-com-royapettah/order,,chennai
A1 Sheek Kabab Centre,30% OFF,4.3,,₹150 for one,https://www.zomato.com/chennai/a1-sheek-kabab-centre-purasavakkam/order,,chennai
Sundari Akka Kadai,₹101 OFF,4.4,,₹150 for one,https://www.zomato.com/chennai/sundari-akka-kadai-5-triplicane/order,,chennai
Bombay Brasserie,₹101 OFF,4.4,,₹750 for one,https://www.zomato.com/chennai/bombay-brasserie-nungambakkam/order,,chennai
Cheta Butter Milk,₹101 OFF,4.0,,₹100 for one,https://www.zomato.com/chennai/cheta-butter-milk-thousand-lights/order,,chennai
Night Out Corner,₹101 OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/night-out-corner-1-vepery/order,,chennai
China Town,₹101 OFF,4.5,,₹600 for one,https://www.zomato.com/chennai/china-town-1-egmore/order,,chennai
Meat And Eat,Flat 20% OFF,3.6,,₹200 for one,https://www.zomato.com/chennai/meat-and-eat-purasavakkam/order,,chennai
Seven Eleven Cafe & Restaurant,₹101 OFF,-,,₹150 for one,https://www.zomato.com/chennai/seven-eleven-cafe-restaurant-1-thousand-lights/order,,chennai
O.L.E,₹101 OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/o-l-e-nungambakkam/order,,chennai
Sharief Bhai Biryani,₹101 OFF,3.9,,₹350 for one,https://www.zomato.com/chennai/sharief-bhai-biryani-perambur/order,,chennai
Roz Shawarma & Rolls,₹101 OFF,3.6,,₹200 for one,https://www.zomato.com/chennai/roz-shawarma-rolls-1-perambur/order,,chennai
Kaimanam,Flat 10% OFF,4.1,,₹250 for one,https://www.zomato.com/chennai/kaimanam-gopalapuram/order,,chennai
Anu's Punjabi Dhaba,₹101 OFF,4.3,,₹500 for one,https://www.zomato.com/chennai/anus-punjabi-dhaba-gopalapuram/order,,chennai
Alibaba Shawarma and 40 Dishes,₹101 OFF,3.8,,₹150 for one,https://www.zomato.com/chennai/alibaba-shawarma-and-40-dishes-choolaimedu/order,,chennai
Madurai Pandian Mess,₹101 OFF,4.0,,₹150 for one,https://www.zomato.com/chennai/madurai-pandian-mess-royapettah/order,,chennai
Yum Me Too,"North Indian, Kebab, Burger, Wraps, Fast Food, Beverages",3.6,,₹250 for one,https://www.zomato.com/chennai/yum-me-too-kilpauk/order,,chennai
Lazy Leopard,₹101 OFF,4.4,,₹600 for one,https://www.zomato.com/chennai/lazy-leopard-gopalapuram/order,,chennai
Sri Anna Poorani Hotel & Catering,₹101 OFF,3.9,,₹100 for one,https://www.zomato.com/chennai/sri-anna-poorani-hotel-catering-perambur/order,,chennai
Shawarma Spot,₹101 OFF,3.4,,₹100 for one,https://www.zomato.com/chennai/shawarma-spot-6-royapuram/order,,chennai
Hungry Panda,₹101 OFF,4.0,,₹200 for one,https://www.zomato.com/chennai/hungry-panda-2-nungambakkam/order,,chennai
Agarwal's Desi Khana Khazana,₹101 OFF,4.5,,₹200 for one,https://www.zomato.com/chennai/agarwals-desi-khana-khazana-kilpauk/order,,chennai
Erode Amman Mess,₹101 OFF,4.3,,₹300 for one,https://www.zomato.com/chennai/erode-amman-mess-t-nagar/order,,chennai
G.R Chats & Foods,₹101 OFF,4.0,,₹100 for one,https://www.zomato.com/chennai/g-r-chats-foods-purasavakkam/order,,chennai
Navrang Restaurant,₹101 OFF,4.2,,₹400 for one,https://www.zomato.com/chennai/navrang-restaurant-royapettah/order,,chennai
